"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"formattable","formattable","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.1",NA,"R (> 3.0.2)","methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"Formula","Formula","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"formula.tools","formula.tools","C:/Users/romai/AppData/Local/R/win-library/4.2","1.7.1",NA,"R (>= 3.0.0)","operator.tools(>= 1.4.0), utils, methods",NA,"magrittr, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"fs","fs","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5.2",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"fungible","fungible","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2",NA,"R (>= 3.5)","clue, CVXR, DEoptim, GPArotation, lattice, MASS, methods,
mvtnorm, nleqslv, Rcsdp, RSpectra, utils, graphics, grDevices",NA,"rmarkdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"furrr","furrr","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.0",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"futile.logger","futile.logger","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.0"
"futile.options","futile.options","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.0"
"future","future","C:/Users/romai/AppData/Local/R/win-library/4.2","1.26.1",NA,NA,"digest, globals (>= 0.15.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.30.0), tools, utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"future.apply","future.apply","C:/Users/romai/AppData/Local/R/win-library/4.2","1.9.0",NA,"R (>= 3.2.0), future (>= 1.22.1)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gam","gam","C:/Users/romai/AppData/Local/R/win-library/4.2","1.22-2",NA,"R (>= 4.0), stats, splines, foreach","methods",NA,"interp, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"gamlss","gamlss","C:/Users/romai/AppData/Local/R/win-library/4.2","5.4-3",NA,"R (>= 3.3.0), graphics, stats, splines, utils, grDevices,
gamlss.data (>= 5.0-0), gamlss.dist (>= 4.3.1), nlme, parallel","MASS, survival, methods",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"gamlss.data","gamlss.data","C:/Users/romai/AppData/Local/R/win-library/4.2","6.0-2",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"gamlss.dist","gamlss.dist","C:/Users/romai/AppData/Local/R/win-library/4.2","6.0-3",NA,"R (>= 3.5.0), MASS, graphics, stats, methods, grDevices",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"gamm4","gamm4","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2-6",NA,"R (>= 2.9.0), methods, Matrix, lme4 (>= 1.0), mgcv (>= 1.7-23)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gap","gap","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.3-6",NA,"R (>= 2.10), gap.datasets","dplyr, ggplot2, plotly",NA,"BradleyTerry2, MASS, Matrix, MCMCglmm, R2jags, bdsmatrix,
calibrate, circlize, coda, cowplot, coxme, foreign, forestplot,
genetics, grid, haplo.stats, htmlwidgets, jsonlite, kinship2,
knitr, lattice, magic, matrixStats, meta, metafor, mets, nlme,
pedigree, pedigreemm, plotrix, reshape, rmarkdown, rmeta, rms,
survival","shiny","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"gap.datasets","gap.datasets","C:/Users/romai/AppData/Local/R/win-library/4.2","0.0.5",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gapminder","gapminder","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.0",NA,"R (>= 3.1.0)","tibble",NA,"dplyr, ggplot2, testthat",NA,"CC0",NA,NA,NA,NA,"no","4.2.0"
"gargle","gargle","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"gbm","gbm","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.8",NA,"R (>= 2.9.0)","lattice, parallel, survival",NA,"covr, gridExtra, knitr, pdp, RUnit, splines, tinytest, vip,
viridis",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"gbRd","gbRd","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4-11",NA,"tools",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.2.0"
"gclus","gclus","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.2",NA,"R (>= 2.10), cluster",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gdata","gdata","C:/Users/romai/AppData/Local/R/win-library/4.2","2.18.0.1",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"gdtools","gdtools","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.4",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"gee","gee","C:/Users/romai/AppData/Local/R/win-library/4.2","4.13-22",NA,"stats",NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"geepack","geepack","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.3",NA,"R (>= 3.5.0), methods","MASS, broom, magrittr",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"gender","gender","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6.0",NA,"R (>= 4.0.0), utils, stats","dplyr (>= 0.8.5), httr (>= 1.4.1), jsonlite (>= 1.6.1),
remotes(>= 2.2.0)",NA,"genderdata (>= 0.6.0), ggplot2 (>= 3.3.0), knitr (>= 1.28),
testthat (>= 2.3.2), rmarkdown (>= 2.1), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"GeneralizedHyperbolic","GeneralizedHyperbolic","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8-4",NA,"R (>= 3.0.1)","DistributionUtils, MASS",NA,"VarianceGamma, actuar, SkewHyperbolic, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"generics","generics","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.2",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"genetics","genetics","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.8.1.3",NA,"combinat, gdata, gtools, MASS, mvtnorm",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"geojsonsf","geojsonsf","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.2",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"geometries","geometries","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.0",NA,NA,"Rcpp","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"geometry","geometry","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.6",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"geonames","geonames","C:/Users/romai/AppData/Local/R/win-library/4.2","0.999",NA,"R (>= 2.2.0)","rjson",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"geosphere","geosphere","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5-14",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"gert","gert","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.0",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"gettz","gettz","C:/Users/romai/AppData/Local/R/win-library/4.2","0.0.4",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"GGally","GGally","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.2.0"
"gganimate","gganimate","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.7",NA,"ggplot2 (>= 3.0.0)","stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils",NA,"magick, svglite, knitr, rmarkdown, testthat, base64enc,
htmltools, covr, transformr, av, gifski, ragg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ggbeeswarm","ggbeeswarm","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6.0",NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor",NA,"gridExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"ggeffects","ggeffects","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.2.1",NA,"R (>= 3.4)","graphics, insight (>= 0.17.0), MASS, sjlabelled (>= 1.1.2),
stats",NA,"AER, aod, betareg, brms, clubSandwich, effects (>= 4.1-2),
emmeans (>= 1.4.1), gam, gamlss, gamm4, gee, geepack, ggplot2,
GLMMadaptive, glmmTMB (>= 1.0.0), gridExtra, haven, httr,
knitr, lme4, logistf, magrittr, margins, Matrix, mice,
MCMCglmm, mgcv, nlme, ordinal, parameters, patchwork,
prediction, pscl, quantreg, rmarkdown, rms, robustbase,
rstanarm, rstantools, sandwich, see, sjstats, sjmisc (>=
2.8.2), survey, survival, testthat, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggforce","ggforce","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ggmap","ggmap","C:/Users/romai/AppData/Local/R/win-library/4.2","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"ggplot2","ggplot2","C:/Users/romai/AppData/Local/R/win-library/4.2","3.4.0",NA,"R (>= 3.3)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.0.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, ragg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>=
0.7-3), svglite (>= 1.2.0.9001), testthat (>= 3.1.2), vdiffr
(>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"ggplot2movies","ggplot2movies","C:/Users/romai/AppData/Local/R/win-library/4.2","0.0.1",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggpubr","ggpubr","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"ggraph","ggraph","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.5",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ggrepel","ggrepel","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ggridges","ggridges","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ggsci","ggsci","C:/Users/romai/AppData/Local/R/win-library/4.2","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ggsignif","ggsignif","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6.3",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ggsn","ggsn","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5.0",NA,"R (>= 3.4), ggplot2, grid","sf, png, maptools, ggmap, graphics, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"ggspatial","ggspatial","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.5",NA,"R (>= 2.10)","sf, ggplot2 (>= 3.0.0), rosm (>= 0.2), abind, methods, tibble,
scales, tidyr, rlang, grid, glue",NA,"prettymapr, knitr, rmarkdown, sp, rgdal, raster, testthat (>=
2.1.0), dplyr, withr, ggrepel, stars, covr, vdiffr, lwgeom",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggstance","ggstance","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.5",NA,"R (>= 3.1.0)","ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)",NA,"covr, Hmisc, testthat, vdiffr (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggthemes","ggthemes","C:/Users/romai/AppData/Local/R/win-library/4.2","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"gh","gh","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"gifski","gifski","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.6-1",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"git2r","git2r","C:/Users/romai/AppData/Local/R/win-library/4.2","0.30.1",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"gitcreds","gitcreds","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"GLMMadaptive","GLMMadaptive","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8-5",NA,NA,"MASS, nlme, parallel, matrixStats",NA,"lattice, knitr, rmarkdown, pkgdown, multcomp, emmeans,
estimability, effects, DHARMa, optimParallel",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"glmmML","glmmML","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.3",NA,"R (>= 2.13.0)",NA,NA,"knitr, rmarkdown, lme4",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"glmmTMB","glmmTMB","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.3",NA,"R (>= 3.2.0)","methods, TMB (>= 1.7.14), lme4 (>= 1.1-18.9000), Matrix, nlme,
numDeriv","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car
(>= 3.0.6), emmeans (>= 1.4), estimability, DHARMa, multcomp,
MuMIn, effects (>= 4.0-1), dotwhisker, broom, broom.mixed,
plyr, png, boot, texreg, xtable, huxtable, mvabund",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.2.0"
"glmnet","glmnet","C:/Users/romai/AppData/Local/R/win-library/4.2","4.1-4",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"glmnetUtils","glmnetUtils","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.8",NA,NA,"stats, graphics, grDevices, glmnet, parallel, Matrix",NA,"knitr, rmarkdown, MASS, doParallel, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"GlobalOptions","GlobalOptions","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.2",NA,"R (>= 3.3.0), methods","utils",NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"globals","globals","C:/Users/romai/AppData/Local/R/win-library/4.2","0.15.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"glue","glue","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"gmailr","gmailr","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 3.0.0)","base64enc, crayon, gargle, httr, jsonlite, lifecycle,
magrittr, mime, rematch2",NA,"covr, knitr, methods, rmarkdown, sodium, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"Gmedian","Gmedian","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.6",NA,"R (>= 3.0.0)","Rcpp (>= 0.12.6), RSpectra, robustbase","Rcpp, RcppArmadillo, RSpectra",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"gmm","gmm","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6-6",NA,"R (>= 2.10.0), sandwich","stats, methods, grDevices, graphics",NA,"knitr, mvtnorm, car, stabledist, MASS, timeDate, timeSeries",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"gmnl","gmnl","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-3.2",NA,"R (>= 3.6.0), maxLik, Formula","plotrix, msm, mlogit, truncnorm, stats, graphics, utils",NA,"AER, lmtest, car, memisc, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gmodels","gmodels","C:/Users/romai/AppData/Local/R/win-library/4.2","2.18.1.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"gmp","gmp","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6-5",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"gnm","gnm","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-2",NA,"R (>= 3.0.0)","graphics, grDevices, MASS, Matrix, methods, nnet, qvcalc (>=
0.8-3), relimp, stats, utils",NA,"testthat, vcdExtra",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"goftest","goftest","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"googleAuthR","googleAuthR","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.0",NA,"R (>= 3.3.0)","assertthat (>= 0.2.0), cli (>= 2.0.2), digest, gargle (>=
1.2.0), httr (>= 1.4.0), jsonlite (>= 1.6), memoise (>= 1.1.0),
rlang, utils",NA,"bigQueryR, covr, devtools (>= 1.12.0), formatR (>= 1.4),
googleAnalyticsR, knitr, miniUI (>= 0.1.1), rmarkdown, roxygen2
(>= 5.0.0), rstudioapi, shiny (>= 0.13.2), testthat, usethis
(>= 1.6.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"googleCloudStorageR","googleCloudStorageR","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7.0",NA,"R (>= 3.2.0)","assertthat (>= 0.2.0), cli, curl, googleAuthR (>= 1.4.0), httr
(>= 1.2.1), jsonlite (>= 1.0), openssl, utils, yaml, zip (>=
2.0.3)",NA,"fs, googleComputeEngineR, knitr, readr, rmarkdown, sodium,
testthat, usethis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"googledrive","googledrive","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"googlePolylines","googlePolylines","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8.2",NA,NA,"Rcpp (>= 0.12.13)","Rcpp, BH","covr, knitr, rmarkdown, sf, sfheaders, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"googlesheets4","googlesheets4","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.0",NA,"R (>= 3.3)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"gower","gower","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.0",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"GPArotation","GPArotation","C:/Users/romai/AppData/Local/R/win-library/4.2","2022.4-1",NA,"R (>= 2.0.0)","stats",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
